Callsign,Packet,Lat,Lon,Hours,Minutes,Seconds,Alt,AscentRate,Speed,Sats,Temp,Pressure,Humidity,Batt,CNT1_1,CNT1_2,CNT1_3,CNT1_4,CNT2_1,CNT2_2,CNT2_3,CNT2_4,CNT3_1,CNT3_2,CNT3_3,CNT3_4,CNTTemp,CNTHumid
W0MXX,28,4227904,-7297624,17,45,07,167,0.4,0,8,30.1,1001.2,3.4,3.0,26,32,35,36,40161,46589,49701,31531,20173,14853,17558,4905,0.0,0.0
W0MXX,29,4227901,-7297620,17,45,27,173,0.6,2,8,30.2,1001.2,3.4,3.1,22,34,34,34,40833,46961,50113,32002,20223,14907,17608,4924,0.0,0.0
W0MXX,30,4227879,-7297614,17,45,47,176,0.4,3,10,30.2,1001.3,3.4,3.1,26,33,37,37,40912,46934,50177,32073,20238,14911,17606,4931,0.0,0.0
W0MXX,31,4227872,-7297613,17,46,07,172,-0.4,1,10,30.4,1001.3,3.4,3.1,25,32,34,35,41039,46969,50262,32170,20234,14923,17569,4939,0.0,0.0
W0MXX,32,4227875,-7297611,17,46,27,172,0.0,0,11,30.5,1001.2,3.4,3.1,24,34,36,35,41082,46926,50248,32182,20229,14906,17492,4928,0.0,0.0
W0MXX,33,4227877,-7297613,17,46,47,173,0.1,0,11,30.5,1001.2,3.4,3.1,19,37,34,34,41117,46917,50259,32202,20240,14911,17430,4928,0.0,0.0
W0MXX,34,4227877,-7297612,17,47,07,172,-0.2,1,11,30.6,1001.3,3.4,3.1,25,36,34,33,41223,46968,50318,32281,20236,14889,17365,4933,0.0,0.0
W0MXX,35,4227873,-7297610,17,47,27,172,0.1,1,11,30.7,1001.4,3.3,3.1,24,35,33,39,41327,47012,50377,32352,20209,14872,17324,4929,0.0,0.0
W0MXX,36,4227872,-7297609,17,47,47,170,-0.3,1,11,30.8,1001.3,3.3,3.1,20,38,35,36,41422,47062,50448,32428,20177,14854,17277,4929,0.0,0.0
W0MXX,37,4227872,-7297609,17,48,07,168,-0.2,0,11,30.9,1001.3,3.3,3.1,22,36,37,33,41468,47083,50459,32457,20135,14815,17216,4922,0.0,0.0
W0MXX,38,4227869,-7297607,17,48,27,169,0.1,2,11,30.9,1001.4,3.3,3.1,21,36,37,35,41356,46949,50325,32364,20084,14762,17159,4904,0.0,0.0
W0MXX,39,4227865,-7297606,17,48,47,168,-0.1,2,11,31.0,1001.4,3.3,3.1,24,35,33,36,41228,46825,50206,32272,20048,14714,17131,4885,0.0,0.0
W0MXX,40,4227869,-7297608,17,49,07,170,0.2,0,11,31.0,1001.4,3.3,3.1,24,36,37,39,41199,46777,50161,32251,20009,14689,17149,4877,0.0,0.0
W0MXX,41,4227870,-7297609,17,49,27,172,0.2,0,12,31.1,1001.3,3.3,3.1,24,38,37,35,41194,46749,50140,32237,19983,14670,17190,4872,0.0,0.0
W0MXX,42,4227868,-7297609,17,49,47,172,0.1,0,12,31.1,1001.3,3.3,3.1,25,34,36,37,41185,46730,50115,32233,19968,14673,17240,4869,0.0,0.0
W0MXX,43,4227867,-7297610,17,50,07,172,-0.1,0,12,31.2,1001.4,3.3,3.1,25,37,36,34,41199,46700,50102,32239,19954,14683,17292,4867,0.0,0.0
W0MXX,44,4227866,-7297610,17,50,27,172,0.1,0,11,31.2,1001.4,3.3,3.1,26,37,39,34,41202,46673,50090,32234,19970,14693,17325,4864,0.0,0.0
W0MXX,45,4227864,-7297610,17,50,47,171,-0.1,0,12,31.3,1001.2,3.3,3.1,28,37,37,39,41175,46627,50055,32212,19977,14704,17367,4867,0.0,0.0
W0MXX,46,4227860,-7297611,17,51,07,171,0.0,1,13,31.3,1001.4,3.3,3.1,26,37,39,40,41184,46618,50038,32206,19998,14718,17397,4870,0.0,0.0
W0MXX,47,4227860,-7297611,17,51,27,171,-0.0,0,13,31.3,1001.3,3.3,3.0,26,37,35,34,41211,46619,50064,32236,20019,14747,17450,4876,0.0,0.0
W0MXX,48,4227861,-7297610,17,51,47,173,0.1,0,13,31.4,1001.3,3.3,3.1,24,36,37,36,41247,46622,50068,32249,20046,14773,17467,4881,0.0,0.0
W0MXX,49,4227863,-7297609,17,52,07,173,0.0,0,13,31.4,1001.3,3.2,3.1,25,34,35,37,41250,46626,50086,32263,20071,14798,17508,4891,0.0,0.0
W0MXX,50,4227864,-7297610,17,52,27,174,0.1,0,13,31.4,1001.3,3.3,3.1,22,37,37,36,41273,46647,50111,32287,20108,14822,17542,4899,0.0,0.0
W0MXX,51,4227864,-7297609,17,52,47,175,0.1,0,13,31.5,1001.4,3.2,3.1,28,40,39,38,41272,46659,50131,32285,20134,14846,17587,4900,0.0,0.0
W0MXX,52,4227867,-7297608,17,53,07,176,0.1,1,13,31.5,1001.2,3.2,3.1,26,37,37,37,41363,46835,50292,32379,20174,14879,17671,4915,0.0,0.0
W0MXX,53,4227866,-7297609,17,53,27,176,-0.0,1,13,31.6,1001.3,3.2,3.1,22,39,42,35,41452,46934,50358,32453,20212,14913,17770,4924,0.0,0.0
W0MXX,54,4227870,-7297600,17,53,47,183,0.9,11,13,31.6,990.6,3.1,3.1,26,36,37,37,41354,46820,50220,32389,20245,14948,17861,4931,0.0,0.0
W0MXX,55,4227873,-7297515,17,54,07,316,14.5,6,12,31.6,977.8,3.0,3.0,25,36,38,37,41190,46535,49929,32223,20258,14954,17925,4925,0.0,0.0
W0MXX,56,4227840,-7297451,17,54,27,417,11.1,13,13,31.7,965.4,2.9,3.0,25,38,37,37,41088,46342,49732,32122,20303,14989,17991,4926,0.0,0.0
W0MXX,57,4227824,-7297386,17,54,47,541,13.6,28,13,31.7,952.1,2.8,3.1,25,37,36,37,40937,46061,49464,31974,20343,15014,18066,4938,0.0,0.0
W0MXX,58,4227752,-7297280,17,55,07,655,12.5,32,13,31.7,941.7,2.8,3.0,25,35,38,37,40806,45780,49199,31837,20397,15061,18153,4938,0.0,0.0
W0MXX,59,4227664,-7297179,17,55,27,729,8.1,16,13,31.7,931.4,2.7,3.1,28,36,37,36,40680,45546,48970,31729,20432,15093,18223,4947,0.0,0.0
W0MXX,60,4227615,-7297088,17,55,47,814,9.3,15,13,31.7,921.6,2.6,3.0,25,39,37,38,40549,45270,48710,31594,20483,15118,18284,4958,0.0,0.0
W0MXX,61,4227514,-7296913,17,56,22,985,12.8,28,13,31.7,909.0,2.5,3.0,46,77,86,60,40299,44910,48776,32205,20847,15180,18504,5001,0.0,0.0
W0MXX,62,4227494,-7296873,17,56,31,1030,4.9,27,13,31.7,897.4,2.5,3.0,26,38,38,36,40154,44645,48105,31239,20549,15156,18361,4964,0.0,0.0
W0MXX,63,4227438,-7296736,17,56,51,1150,13.2,36,13,31.8,886.4,2.4,3.1,24,36,39,35,39976,44356,47799,31089,20578,15164,18375,4968,0.0,0.0
W0MXX,64,4227417,-7296610,17,57,11,1259,11.9,8,13,31.7,875.0,2.4,3.1,24,35,37,37,39791,44060,47505,30902,20605,15182,18409,4971,0.0,0.0
W0MXX,65,4227381,-7296476,17,57,31,1370,12.2,13,13,31.7,862.7,2.4,3.1,23,37,39,38,39516,43678,47105,30676,20588,15166,18389,4968,0.0,0.0
W0MXX,66,4227340,-7296362,17,57,51,1485,12.7,28,13,31.7,851.0,2.3,3.0,24,37,36,37,39388,43427,46843,30542,20626,15187,18419,4978,0.0,0.0
W0MXX,67,4227299,-7296275,17,58,11,1589,11.4,9,13,31.6,840.0,2.3,3.1,23,39,37,36,39073,43020,46430,30293,20596,15152,18392,4960,0.0,0.0
W0MXX,68,4227244,-7296203,17,58,31,1691,11.1,10,13,31.6,826.9,2.2,3.1,22,36,34,37,38759,42609,45998,30026,20557,15118,18345,4953,0.0,0.0
W0MXX,69,4227176,-7296136,17,58,51,1844,16.8,21,13,31.5,814.2,2.2,3.1,25,36,34,35,38505,42242,45623,29808,20539,15106,18330,4938,0.0,0.0
W0MXX,70,4227095,-7296095,17,59,11,1965,13.3,10,13,31.4,801.1,2.1,3.0,23,36,38,37,38216,41854,45206,29545,20486,15056,18281,4927,0.0,0.0
W0MXX,71,4227024,-7296031,17,59,31,2095,14.2,30,13,31.4,787.9,2.1,3.0,17,36,33,35,37875,41412,44742,29249,20373,14973,18195,4893,0.0,0.0
W0MXX,72,4226921,-7295942,17,59,51,2231,14.9,40,13,31.3,775.1,2.0,3.1,25,37,35,36,37659,41070,44400,29070,20397,14992,18212,4904,0.0,0.0
W0MXX,73,4226763,-7295849,18,00,11,2364,14.7,45,13,31.2,762.6,1.8,3.1,23,37,32,36,37451,40773,44088,28889,20385,14973,18213,4899,0.0,0.0
W0MXX,74,4226594,-7295706,18,00,31,2495,14.3,46,13,31.1,751.2,1.7,3.0,23,34,37,41,37242,40480,43766,28701,20353,14940,18194,4892,0.0,0.0
W0MXX,75,4226433,-7295517,18,00,51,2615,13.2,48,13,31.0,740.5,1.6,3.0,22,36,35,36,37141,40312,43599,28603,20420,14997,18243,4899,0.0,0.0
W0MXX,76,4226301,-7295306,18,01,11,2739,13.6,29,13,30.9,730.0,1.5,3.1,23,38,35,36,36962,40048,43329,28443,20438,15006,18263,4910,0.0,0.0
W0MXX,77,4226191,-7295078,18,01,31,2851,12.3,48,13,30.7,719.0,1.4,3.1,25,33,34,37,36718,39724,42976,28232,20381,14963,18196,4895,0.0,0.0
W0MXX,78,4226098,-7294866,18,01,51,2972,13.2,34,13,30.6,708.2,1.2,3.1,24,34,36,35,36537,39468,42723,28108,20396,14987,18191,4895,0.0,0.0
W0MXX,79,4226041,-7294597,18,02,11,3093,13.3,34,13,30.5,697.4,1.2,3.1,20,32,34,33,36420,39258,42509,27981,20409,14987,18185,4901,0.0,0.0
W0MXX,80,4225979,-7294304,18,02,31,3208,12.6,46,13,30.4,686.7,1.1,3.1,22,36,34,34,36260,39021,42274,27853,20388,14959,18136,4894,0.0,0.0
W0MXX,81,4225943,-7293977,18,02,51,3344,14.9,59,13,30.2,675.7,1.1,3.1,22,35,35,34,36057,38742,42018,27689,20467,15024,18166,4911,0.0,0.0
W0MXX,82,4225917,-7293649,18,03,11,3466,13.4,65,13,30.1,665.2,1.1,3.0,21,34,35,35,35773,38361,41624,27456,20415,14971,18080,4898,0.0,0.0
W0MXX,83,4225886,-7293262,18,03,31,3601,14.7,56,13,30.0,654.9,1.1,3.1,20,36,36,37,35547,38015,41301,27253,20403,14962,18033,4897,0.0,0.0
W0MXX,84,4225880,-7292868,18,03,51,3723,13.5,69,13,29.8,644.2,1.0,3.1,23,34,34,34,35100,37505,40765,26910,20314,14877,17898,4876,0.0,0.0
W0MXX,85,4225878,-7292451,18,04,11,3854,14.3,64,13,29.7,634.9,1.0,3.1,19,32,34,35,34755,37089,40347,26632,20222,14810,17773,4855,0.0,0.0
W0MXX,86,4225902,-7292080,18,04,31,3976,13.4,55,13,29.6,624.6,1.1,3.1,21,33,36,33,34564,36808,40059,26463,20222,14790,17697,4854,0.0,0.0
W0MXX,87,4225903,-7291665,18,04,51,4104,14.1,68,13,29.4,613.8,1.0,3.1,21,36,36,32,34363,36545,39774,26300,20191,14766,17607,4852,0.0,0.0
W0MXX,88,4225894,-7291236,18,05,11,4240,14.9,74,13,29.3,603.3,0.9,3.1,17,31,33,34,34068,36188,39416,26055,20104,14688,17478,4823,0.0,0.0
W0MXX,89,4225897,-7290823,18,05,31,4374,14.7,72,13,29.2,593.1,0.9,3.0,18,38,35,37,33745,35816,39032,25800,20022,14615,17349,4803,0.0,0.0
W0MXX,90,4225913,-7290392,18,05,51,4509,14.8,60,13,29.0,583.0,0.9,3.1,18,31,33,35,33416,35434,38619,25517,19895,14513,17197,4777,0.0,0.0
W0MXX,91,4225938,-7289984,18,06,11,4651,15.6,67,13,28.9,572.8,0.9,3.0,20,33,34,33,33167,35125,38324,25324,19822,14439,17074,4762,0.0,0.0
W0MXX,92,4225958,-7289583,18,06,31,4779,14.0,66,13,28.8,563.4,0.9,3.0,17,28,33,35,32944,34869,38054,25151,19786,14395,16959,4748,0.0,0.0
W0MXX,93,4225985,-7289153,18,06,51,4918,15.2,51,13,28.7,554.1,0.9,3.1,19,36,32,34,32612,34479,37638,24880,19684,14313,16816,4730,0.0,0.0
W0MXX,94,4226002,-7288782,18,07,11,5052,14.6,53,13,28.5,544.9,0.8,3.1,20,37,33,34,32172,33996,37130,24554,19559,14214,16655,4694,0.0,0.0
W0MXX,95,4226035,-7288359,18,07,31,5185,14.7,61,13,28.4,536.1,0.9,3.1,28,37,38,34,31984,33785,36879,24386,19481,14149,16534,4670,0.0,0.0
W0MXX,96,4226071,-7287924,18,07,51,5311,13.8,74,13,28.3,526.8,0.9,3.1,20,32,34,39,31717,33465,36566,24190,19365,14058,16375,4640,0.0,0.0
W0MXX,97,4226135,-7287502,18,08,11,5445,14.8,61,13,28.1,517.8,0.8,3.1,19,35,36,36,31509,33227,36292,24000,19270,13961,16233,4617,0.0,0.0
W0MXX,98,4226229,-7287002,18,08,31,5578,14.6,80,13,27.9,509.3,0.8,3.0,23,33,32,38,31156,32836,35845,23717,19143,13856,16069,4587,0.0,0.0
W0MXX,99,4226328,-7286511,18,08,51,5706,14.1,80,13,27.8,500.2,0.8,3.1,19,33,35,36,30862,32491,35475,23493,19028,13772,15925,4559,0.0,0.0
W0MXX,100,4226406,-7286041,18,09,11,5837,14.5,62,13,27.6,491.8,0.9,3.1,20,31,37,38,30811,32418,35394,23446,19027,13761,15880,4564,0.0,0.0
W0MXX,101,4226491,-7285520,18,09,31,5968,14.4,82,13,27.5,483.5,0.9,3.1,20,34,36,35,30677,32257,35217,23339,19003,13724,15754,4554,0.0,0.0
W0MXX,102,4226596,-7285010,18,09,51,6107,15.3,92,13,27.3,475.6,0.8,3.1,20,35,29,35,30527,32074,35032,23216,18977,13698,15659,4547,0.0,0.0
W0MXX,103,4226717,-7284447,18,10,11,6220,12.5,98,13,27.2,467.8,0.8,3.1,24,35,37,37,30124,31595,34520,22889,18741,13505,15418,4489,0.0,0.0
W0MXX,104,4226852,-7283903,18,10,31,6341,13.3,82,13,27.0,460.3,0.8,3.1,20,34,35,36,29996,31418,34350,22778,18788,13525,15380,4497,0.0,0.0
W0MXX,105,4226989,-7283345,18,10,51,6466,13.8,77,13,26.8,453.0,0.8,3.1,21,38,38,42,29761,31158,34040,22598,18684,13442,15232,4474,0.0,0.0
W0MXX,106,4227116,-7282777,18,11,11,6583,12.9,103,13,26.7,445.8,0.8,3.0,27,42,40,39,29619,30984,33863,22479,18675,13427,15132,4471,0.0,0.0
W0MXX,107,4227234,-7282204,18,11,31,6700,12.9,81,13,26.5,439.2,0.8,3.1,27,37,39,38,29249,30529,33405,22184,18447,13235,14886,4415,0.0,0.0
W0MXX,108,4227362,-7281592,18,11,51,6800,11.1,88,13,26.4,432.3,0.8,3.1,26,39,40,32,28954,30156,33047,21943,18357,13173,14768,4395,0.0,0.0
W0MXX,109,4227482,-7281000,18,12,11,6928,14.1,101,13,26.2,425.1,0.8,3.1,24,40,40,39,28454,29589,32427,21537,18080,12948,14479,4329,0.0,0.0
W0MXX,110,4227624,-7280438,18,12,31,7054,14.0,79,13,26.0,418.3,0.7,3.1,25,35,40,39,28126,29235,32038,21276,17888,12805,14286,4283,0.0,0.0
W0MXX,111,4227768,-7279850,18,12,51,7170,12.7,81,13,25.8,410.8,0.7,3.1,24,38,40,41,27744,28771,31581,20989,17775,12714,14155,4253,0.0,0.0
W0MXX,112,4227867,-7279286,18,13,11,7276,11.8,86,13,25.6,406.2,0.8,3.1,22,38,40,40,27655,28627,31483,20920,17822,12739,14134,4262,0.0,0.0
W0MXX,113,4227987,-7278675,18,13,31,7380,11.5,106,13,25.5,401.2,0.8,3.1,25,35,39,42,27367,28310,31125,20688,17654,12601,13956,4230,0.0,0.0
W0MXX,114,4228137,-7278059,18,13,51,7472,10.0,100,13,25.3,395.1,0.8,3.0,23,38,40,41,27036,27944,30730,20434,17551,12521,13794,4190,0.0,0.0
W0MXX,115,4228261,-7277472,18,14,11,7579,11.8,93,13,25.1,388.4,0.8,3.1,27,37,42,40,26716,27601,30337,20176,17315,12331,13569,4138,0.0,0.0
W0MXX,116,4228353,-7276860,18,14,31,7718,15.3,85,13,24.9,383.1,0.7,3.1,23,42,40,40,26520,27410,30115,20029,17260,12291,13499,4130,0.0,0.0
W0MXX,117,4228468,-7276254,18,14,51,7807,9.8,96,13,24.7,376.6,0.7,3.0,25,41,40,35,26263,27120,29806,19819,17151,12193,13358,4106,0.0,0.0
W0MXX,118,4228600,-7275585,18,15,11,7945,15.2,97,13,24.5,369.9,0.8,3.1,22,38,39,40,26085,26945,29617,19679,17075,12125,13243,4083,0.0,0.0
W0MXX,119,4228768,-7274860,18,15,31,8076,14.5,112,13,24.3,363.6,0.9,3.0,25,37,38,37,25945,26798,29445,19563,17086,12129,13217,4090,0.0,0.0
W0MXX,120,4228890,-7274170,18,15,51,8193,12.8,96,13,24.1,358.5,0.8,3.1,23,38,39,39,25543,26318,29019,19252,16949,12018,13061,4056,0.0,0.0
W0MXX,121,4229134,-7272929,18,16,26,8369,13.2,98,13,23.9,351.7,0.8,3.0,38,61,77,50,25385,26228,28807,19106,16854,11951,12944,4034,0.0,0.0
W0MXX,122,4229188,-7272621,18,16,35,8423,5.9,115,13,23.7,347.0,0.8,3.1,22,39,41,40,25300,26068,28707,19069,16867,11953,12903,4037,0.0,0.0
W0MXX,123,4229336,-7271920,18,16,55,8507,9.2,102,13,23.5,341.2,0.8,3.1,25,38,37,40,24976,25698,28298,18805,16730,11840,12742,4001,0.0,0.0
W0MXX,124,4229521,-7271235,18,17,15,8638,14.5,106,13,23.3,335.7,0.8,3.1,24,40,39,40,24702,25412,28005,18599,16593,11719,12606,3968,0.0,0.0
W0MXX,125,4229742,-7270541,18,17,35,8742,11.4,104,13,23.1,331.0,0.8,3.1,22,39,40,37,24547,25267,27844,18482,16557,11695,12535,3961,0.0,0.0
W0MXX,126,4229917,-7269837,18,17,55,8843,11.2,109,13,22.9,325.4,0.8,3.1,27,38,39,39,24298,24996,27555,18273,16549,11686,12486,3960,0.0,0.0
W0MXX,127,4230134,-7269163,18,18,15,8967,13.7,101,13,22.7,320.0,0.9,3.1,26,39,38,37,24064,24766,27278,18088,16327,11493,12281,3905,0.0,0.0
W0MXX,128,4230383,-7268444,18,18,35,9102,14.9,126,13,22.5,314.1,0.8,3.1,20,33,39,40,23747,24414,26894,17837,16147,11360,12095,3858,0.0,0.0
W0MXX,129,4230626,-7267700,18,18,55,9211,12.0,125,13,22.3,310.2,0.9,3.1,23,36,36,38,23630,24334,26799,17751,16267,11442,12166,3892,0.0,0.0
W0MXX,130,4230857,-7267008,18,19,15,9294,9.1,113,13,22.1,306.2,0.8,3.1,22,37,38,39,23445,24127,26568,17593,16137,11336,12028,3863,0.0,0.0
W0MXX,131,4231113,-7266301,18,19,35,9393,11.0,129,13,21.8,301.5,0.8,3.1,23,36,38,38,23287,23963,26389,17474,16047,11269,11926,3839,0.0,0.0
W0MXX,132,4231359,-7265594,18,19,55,9504,12.2,116,13,21.6,296.9,0.8,3.1,25,38,37,37,22974,23637,26015,17232,15910,11154,11782,3809,0.0,0.0
W0MXX,133,4231595,-7264865,18,20,15,9612,11.9,117,12,21.4,292.1,0.9,3.1,23,38,38,37,22807,23450,25805,17103,15779,11047,11646,3771,0.0,0.0
W0MXX,134,4231882,-7264129,18,20,35,9729,13.0,117,13,21.2,288.0,0.8,3.1,21,34,38,36,22572,23191,25522,16928,15633,10935,11502,3741,0.0,0.0
W0MXX,135,4232192,-7263378,18,20,55,9817,9.7,124,13,21.0,284.2,0.8,3.0,20,36,38,38,22381,22993,25315,16790,15564,10894,11412,3726,0.0,0.0
W0MXX,136,4232485,-7262613,18,21,15,9898,8.9,122,13,20.8,279.9,0.9,3.1,22,36,36,36,22203,22794,25090,16657,15497,10835,11331,3708,0.0,0.0
W0MXX,137,4232791,-7261846,18,21,35,10016,13.0,137,13,20.6,275.6,0.9,3.0,21,36,39,35,22155,22732,25025,16607,15526,10846,11332,3716,0.0,0.0
W0MXX,138,4233126,-7261014,18,21,55,10112,10.5,143,13,20.4,271.5,1.0,3.1,21,34,39,33,22021,22610,24880,16498,15444,10774,11253,3696,0.0,0.0
W0MXX,139,4233465,-7260198,18,22,15,10216,11.6,140,13,20.2,267.9,1.0,3.1,21,33,36,38,21922,22523,24778,16421,15389,10739,11179,3683,0.0,0.0
W0MXX,140,4233827,-7259380,18,22,35,10303,9.5,129,13,20.0,264.3,1.1,3.1,20,36,37,36,21769,22373,24618,16306,15253,10625,11058,3651,0.0,0.0
W0MXX,141,4234190,-7258537,18,22,55,10395,10.2,150,13,19.8,260.3,1.1,3.1,20,36,34,35,21707,22327,24558,16258,15335,10692,11099,3667,0.0,0.0
W0MXX,142,4234560,-7257651,18,23,15,10501,11.7,160,13,19.5,256.4,1.1,3.1,18,31,35,34,21505,22097,24307,16099,15208,10570,10971,3637,0.0,0.0
W0MXX,143,4234952,-7256795,18,23,35,10596,10.5,142,13,19.3,251.7,1.1,3.0,18,33,38,36,21394,21999,24188,16021,15271,10629,11006,3655,0.0,0.0
W0MXX,144,4235342,-7255952,18,23,55,10735,15.3,151,13,19.1,247.9,1.0,3.1,17,32,36,37,21033,21603,23752,15731,15047,10437,10803,3596,0.0,0.0
W0MXX,145,4235687,-7255108,18,24,15,10825,9.9,137,13,18.9,244.8,1.0,3.1,18,35,34,35,20881,21453,23584,15611,15119,10493,10855,3621,0.0,0.0
W0MXX,146,4236073,-7254251,18,24,35,10908,9.1,146,13,18.7,241.4,1.0,3.1,22,35,36,38,20669,21210,23315,15440,14948,10363,10691,3575,0.0,0.0
W0MXX,147,4236480,-7253379,18,24,55,11003,10.6,154,13,18.5,237.9,1.0,3.1,16,33,35,31,20443,20973,23058,15268,14848,10276,10585,3553,0.0,0.0
W0MXX,148,4236867,-7252512,18,25,15,11094,10.0,153,13,18.3,234.8,0.9,3.1,20,35,36,35,20323,20837,22904,15176,14771,10220,10521,3536,0.0,0.0
W0MXX,149,4237240,-7251660,18,25,35,11187,10.2,147,13,18.1,231.9,1.0,3.0,16,33,35,35,20195,20710,22762,15074,14689,10152,10435,3511,0.0,0.0
W0MXX,150,4237623,-7250794,18,25,55,11259,8.0,135,13,17.8,228.8,1.0,3.1,16,33,38,37,20084,20592,22640,15001,14718,10172,10439,3525,0.0,0.0
W0MXX,151,4237964,-7249945,18,26,15,11346,9.6,149,13,17.6,225.5,1.0,3.1,17,31,40,33,19939,20442,22471,14882,14537,10032,10279,3481,0.0,0.0
W0MXX,152,4238277,-7249131,18,26,35,11436,9.9,135,13,17.4,222.7,1.1,3.0,17,32,33,33,19697,20185,22191,14695,14419,9939,10177,3451,0.0,0.0
W0MXX,153,4238601,-7248335,18,26,55,11524,9.7,138,13,17.2,220.1,1.1,3.1,18,32,34,34,19677,20170,22168,14687,14432,9934,10170,3456,0.0,0.0
W0MXX,154,4238947,-7247576,18,27,15,11607,9.1,129,13,17.0,217.2,1.1,3.0,17,31,31,33,19659,20153,22159,14673,14560,10043,10262,3480,0.0,0.0
W0MXX,155,4239278,-7246784,18,27,35,11684,8.5,138,13,16.8,214.1,1.1,3.1,16,30,35,34,19493,20030,22022,14545,14560,10042,10253,3486,0.0,0.0
W0MXX,156,4239627,-7246032,18,27,55,11776,10.2,138,12,16.7,211.2,1.1,3.1,18,30,35,31,19300,19835,21806,14398,14428,9928,10142,3449,0.0,0.0
W0MXX,157,4240008,-7245279,18,28,15,11882,11.6,144,13,16.5,208.4,1.2,3.1,18,30,34,33,19377,19947,21908,14472,14594,10053,10256,3488,0.0,0.0
W0MXX,158,4240389,-7244521,18,28,35,11977,10.4,151,13,16.3,205.7,1.2,3.0,14,30,33,31,19249,19807,21756,14366,14542,10014,10214,3477,0.0,0.0
W0MXX,159,4240807,-7243754,18,28,55,12056,8.7,144,13,16.1,202.7,1.2,3.0,17,31,31,34,19156,19722,21655,14295,14380,9883,10074,3441,0.0,0.0
W0MXX,160,4241201,-7242989,18,29,15,12167,12.2,134,12,15.9,199.8,1.3,3.0,15,27,30,35,19059,19623,21553,14208,14327,9838,10014,3430,0.0,0.0
W0MXX,161,4241575,-7242243,18,29,35,12258,10.1,132,13,15.8,197.3,1.3,3.0,15,30,33,29,18921,19492,21399,14103,14436,9910,10099,3452,0.0,0.0
W0MXX,162,4241976,-7241484,18,29,55,12338,8.7,122,13,15.6,194.5,1.3,3.0,15,30,31,34,18909,19489,21394,14095,14459,9930,10116,3462,0.0,0.0
W0MXX,163,4242328,-7240712,18,30,15,12437,10.9,128,13,15.4,191.5,1.2,3.1,16,29,31,33,18745,19317,21205,13962,14382,9856,10058,3443,0.0,0.0
W0MXX,164,4242688,-7239961,18,30,35,12533,10.6,137,13,15.2,188.7,1.2,3.0,17,32,33,31,18622,19185,21054,13875,14285,9788,9967,3419,0.0,0.0
W0MXX,165,4243035,-7239182,18,30,55,12640,11.8,140,13,15.0,186.0,1.2,3.1,18,31,36,33,18609,19148,21039,13839,14377,9858,10031,3439,0.0,0.0
W0MXX,166,4243343,-7238437,18,31,15,12728,9.7,139,13,14.9,183.5,1.2,3.0,15,30,32,31,18443,18968,20844,13726,14239,9734,9914,3405,0.0,0.0
